Country Name,Indicator Name,2015,2016,2017
Georgia,"Taxes on income, profits and capital gains (% of revenue)",37.6672174285539,35.3613053613054,33.666656410572
Germany,"Taxes on income, profits and capital gains (% of revenue)",16.9116863130473,17.4304760561899,17.816572743953603
Ghana,"Taxes on income, profits and capital gains (% of revenue)",,,
Gibraltar,"Taxes on income, profits and capital gains (% of revenue)",,,
Greece,"Taxes on income, profits and capital gains (% of revenue)",18.0573560948423,18.8471059766592,18.967790991932898
Greenland,"Taxes on income, profits and capital gains (% of revenue)",,,
Grenada,"Taxes on income, profits and capital gains (% of revenue)",,,
Guam,"Taxes on income, profits and capital gains (% of revenue)",,,
Guatemala,"Taxes on income, profits and capital gains (% of revenue)",33.1641100211051,35.7754338381246,
Guinea,"Taxes on income, profits and capital gains (% of revenue)",,,
Guinea-Bissau,"Taxes on income, profits and capital gains (% of revenue)",,,13.989804297492
Guyana,"Taxes on income, profits and capital gains (% of revenue)",,,
Haiti,"Taxes on income, profits and capital gains (% of revenue)",,,
Honduras,"Taxes on income, profits and capital gains (% of revenue)",23.3649272636053,,
"Hong Kong SAR, China","Taxes on income, profits and capital gains (% of revenue)",,,
Hungary,"Taxes on income, profits and capital gains (% of revenue)",15.5939429363395,17.2804246336138,17.3719456620415
Iceland,"Taxes on income, profits and capital gains (% of revenue)",30.5831348152319,21.041793378049604,32.459535819133
India,"Taxes on income, profits and capital gains (% of revenue)",42.85594103598321,41.254222699108,44.15729341953771
Indonesia,"Taxes on income, profits and capital gains (% of revenue)",39.9883726135378,42.8233538606091,38.8197326535585
"Iran, Islamic Rep.","Taxes on income, profits and capital gains (% of revenue)",,,
Iraq,"Taxes on income, profits and capital gains (% of revenue)",2.36718757305422,4.8049249496931905,
Ireland,"Taxes on income, profits and capital gains (% of revenue)",39.425054378235394,39.9941770601861,40.8991889371154
Isle of Man,"Taxes on income, profits and capital gains (% of revenue)",,,
Israel,"Taxes on income, profits and capital gains (% of revenue)",29.864461388691396,30.2360282204108,34.203931121209195
Italy,"Taxes on income, profits and capital gains (% of revenue)",31.7068130509025,31.3029758247427,31.128635326662998
Jamaica,"Taxes on income, profits and capital gains (% of revenue)",33.3462761425523,31.945584318395,28.1293020926805
Japan,"Taxes on income, profits and capital gains (% of revenue)",46.9256232756017,46.5457007084098,48.60543240747
Jordan,"Taxes on income, profits and capital gains (% of revenue)",12.6333446139811,13.3628493832749,12.6313095943544
Kazakhstan,"Taxes on income, profits and capital gains (% of revenue)",32.465318069506196,28.751820190601396,26.3592589795381
Kenya,"Taxes on income, profits and capital gains (% of revenue)",37.4288925779993,,34.978157688650306
Kiribati,"Taxes on income, profits and capital gains (% of revenue)",5.6897570729735705,7.5082353407073406,7.2107191831314
"Korea, Dem. People’s Rep.","Taxes on income, profits and capital gains (% of revenue)",,,
"Korea, Rep.","Taxes on income, profits and capital gains (% of revenue)",26.1989370967282,27.2066306975652,28.340191337644
Kosovo,"Taxes on income, profits and capital gains (% of revenue)",,,
Kuwait,"Taxes on income, profits and capital gains (% of revenue)",,,
Kyrgyz Republic,"Taxes on income, profits and capital gains (% of revenue)",11.1963954237904,10.8135572250824,10.6746464017973
Lao PDR,"Taxes on income, profits and capital gains (% of revenue)",,,
Latvia,"Taxes on income, profits and capital gains (% of revenue)",9.27813772695802,10.308800265148,10.268034448690301
Lebanon,"Taxes on income, profits and capital gains (% of revenue)",21.6605036801998,21.3314549025565,25.5262719143953
Lesotho,"Taxes on income, profits and capital gains (% of revenue)",23.7822349570201,26.5199228563092,23.3821005203025
Liberia,"Taxes on income, profits and capital gains (% of revenue)",,,
Libya,"Taxes on income, profits and capital gains (% of revenue)",,,
Liechtenstein,"Taxes on income, profits and capital gains (% of revenue)",,,
Lithuania,"Taxes on income, profits and capital gains (% of revenue)",16.2000948648658,17.0064214291119,16.6034321359078
Luxembourg,"Taxes on income, profits and capital gains (% of revenue)",30.0730899835839,30.4638073204483,30.819763170285896
"Macao SAR, China","Taxes on income, profits and capital gains (% of revenue)",6.9652307585229805,7.076404053651201,6.178881532016269
Madagascar,"Taxes on income, profits and capital gains (% of revenue)",20.298614549812,18.5369330625954,18.3954516832688
Malawi,"Taxes on income, profits and capital gains (% of revenue)",38.7358636434334,38.249778736947896,38.5901721978944
Malaysia,"Taxes on income, profits and capital gains (% of revenue)",46.3551342148625,46.8939982393455,47.7170284581736
Maldives,"Taxes on income, profits and capital gains (% of revenue)",,,
Mali,"Taxes on income, profits and capital gains (% of revenue)",23.619704570117804,22.4359833757876,22.7503649635037
Malta,"Taxes on income, profits and capital gains (% of revenue)",32.334000312280196,34.7015198664855,34.5705073525268
Marshall Islands,"Taxes on income, profits and capital gains (% of revenue)",10.9671439255967,11.277601899137899,10.1600109973194
Mauritania,"Taxes on income, profits and capital gains (% of revenue)",,,
Mauritius,"Taxes on income, profits and capital gains (% of revenue)",19.214321677411398,19.2400727760486,20.7764547272479
Mexico,"Taxes on income, profits and capital gains (% of revenue)",34.7222831247457,35.7061875408665,35.7564754229319
"Micronesia, Fed. Sts.","Taxes on income, profits and capital gains (% of revenue)",7.548750765870349,8.01346326644511,15.901961015097498
Moldova,"Taxes on income, profits and capital gains (% of revenue)",9.91343693689209,11.0570778908234,11.1973036268886
Monaco,"Taxes on income, profits and capital gains (% of revenue)",,,
Mongolia,"Taxes on income, profits and capital gains (% of revenue)",12.6868560411855,9.63186543313611,13.340474663900899
Montenegro,"Taxes on income, profits and capital gains (% of revenue)",,,
Morocco,"Taxes on income, profits and capital gains (% of revenue)",30.322556536723102,31.610461517716697,32.8896789868653
Mozambique,"Taxes on income, profits and capital gains (% of revenue)",33.115377353823,35.770900942272796,44.2433508448693
Myanmar,"Taxes on income, profits and capital gains (% of revenue)",12.0225888203971,12.943731855472699,12.929877785731401
Namibia,"Taxes on income, profits and capital gains (% of revenue)",36.3965917216649,40.405749418235395,36.377618318002206
Nauru,"Taxes on income, profits and capital gains (% of revenue)",6.500582524638769,9.18239877752686,7.83710466830192
Nepal,"Taxes on income, profits and capital gains (% of revenue)",19.147869935215002,21.7874649472614,22.5018381635484
Netherlands,"Taxes on income, profits and capital gains (% of revenue)",26.7353201781239,26.7104422440338,29.608133227115804
New Caledonia,"Taxes on income, profits and capital gains (% of revenue)",,,
New Zealand,"Taxes on income, profits and capital gains (% of revenue)",51.5988659950079,51.7654545331211,52.733940252332495
Nicaragua,"Taxes on income, profits and capital gains (% of revenue)",33.8374254212404,34.5623506995791,35.9135242631264
